UHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Pro Forma ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#NUM!,,,,,12/31/2025,,,,,,,,,,47118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHI Operating Pro Forma,,Historical,,,,,Year 1,,,,,Year 2,,,,,Year 3,,,,,Year 4,,,,,Year 5,,,,,Year 6,,,,,Year 7,,,,,Year 8,,,,,Year 9,,,,,Year 10,,,
KEY STATISTICS,,,,,,,2026,,,,,2027,,,,,Stabilized,,,,,2029,,,,,2030,,,,,2031,,,,,2032,,,,,2033,,,,,2034,,,,,2035,,,
Rooms + Food and Beverage,,,0.0%,$0,$0,,"$16,172,824",34.6%,$476,$295,,"$17,313,582",34.6%,$491,$316,,"$18,436,839",34.6%,$505,$336,,"$18,938,059",34.6%,$521,$346,,"$19,506,201",34.6%,$536,$356,,"$20,091,387",34.6%,$552,$367,,"$20,750,824",34.6%,$569,$378,,"$21,314,952",34.6%,$586,$389,,"$21,954,401",34.6%,$604,$401,,"$22,613,033",34.6%,$622,$413
Event revenue,,,0.0%,$0,$0,,"$249,748",0.5%,$7,$5,,"$257,240",0.5%,$7,$5,,"$264,957",0.5%,$7,$5,,"$272,906",0.5%,$8,$5,,"$281,093",0.5%,$8,$5,,"$289,526",0.5%,$8,$5,,"$298,212",0.5%,$8,$5,,"$307,158",0.5%,$8,$6,,"$316,373",0.5%,$9,$6,,"$325,864",0.5%,$9,$6
Spa,,,0.0%,$0,$0,,"$7,255,744",15.5%,$214,$133,,"$7,767,531",15.5%,$220,$142,,"$8,271,467",15.5%,$227,$151,,"$8,496,333",15.5%,$234,$155,,"$8,751,223",15.5%,$241,$160,,"$9,013,760",15.5%,$248,$165,,"$9,309,609",15.5%,$255,$170,,"$9,562,698",15.5%,$263,$175,,"$9,849,579",15.5%,$271,$180,,"$10,145,066",15.5%,$279,$185
Camping,,,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0
Parking,,,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0
Other Operated Departments,,,0.0%,$0,$0,,"$1,412,170",3.0%,$42,$26,,"$1,511,778",3.0%,$43,$28,,"$1,609,858",3.0%,$44,$29,,"$1,653,623",3.0%,$45,$30,,"$1,703,232",3.0%,$47,$31,,"$1,754,329",3.0%,$48,$32,,"$1,811,909",3.0%,$50,$33,,"$1,861,167",3.0%,$51,$34,,"$1,917,002",3.0%,$53,$35,,"$1,974,512",3.0%,$54,$36
Departmental Expenses Total ,,$0,0.0%,$0,$0,,"$25,090,485",53.7%,$739,$458,,"$26,850,130",53.7%,$761,$490,,"$28,583,121",53.7%,$784,$521,,"$29,360,921",53.7%,$807,$536,,"$30,241,749",53.7%,$831,$552,,"$31,149,001",53.7%,$856,$569,,"$32,170,554",53.7%,$882,$586,,"$33,045,975",53.7%,$908,$604,,"$34,037,354",53.7%,$936,$622,,"$35,058,475",53.7%,$964,$640
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTAL PROFIT,,$0,0.0%,$0,$0,,"$21,632,135",46.3%,$637,$395,,"$23,153,753",46.3%,$656,$423,,"$24,652,168",46.3%,$676,$449,,"$25,322,667",46.3%,$696,$463,,"$26,082,347",46.3%,$717,$476,,"$26,864,817",46.3%,$739,$491,,"$27,746,232",46.3%,$761,$505,,"$28,500,885",46.3%,$784,$521,,"$29,355,911",46.3%,$807,$536,,"$30,236,589",46.3%,$831,$552
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNDISTRIBUTED EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrative & General,,,0.0%,$0,$0,,"$4,625,539",9.9%,$136,$84,,"$4,950,384",9.9%,$140,$90,,"$5,270,294",9.9%,$144,$96,,"$5,413,675",9.9%,$149,$99,,"$5,576,085",9.9%,$153,$102,,"$5,743,368",9.9%,$158,$105,,"$5,931,762",9.9%,$163,$108,,"$6,093,139",9.9%,$168,$111,,"$6,275,933",9.9%,$173,$115,,"$6,464,211",9.9%,$178,$118
Sales & Marketing,,,0.0%,$0,$0,,"$2,663,189",5.7%,$78,$49,,"$2,850,221",5.7%,$81,$52,,"$3,034,411",5.7%,$83,$55,,"$3,116,965",5.7%,$86,$57,,"$3,210,473",5.7%,$88,$59,,"$3,306,788",5.7%,$91,$60,,"$3,415,257",5.7%,$94,$62,,"$3,508,171",5.7%,$96,$64,,"$3,613,416",5.7%,$99,$66,,"$3,721,819",5.7%,$102,$68
Staff Accommodation  ,,,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0
Info & Telecom,,,0.0%,$0,$0,,"$700,839",1.5%,$21,$13,,"$750,058",1.5%,$21,$14,,"$798,529",1.5%,$22,$15,,"$820,254",1.5%,$23,$15,,"$844,861",1.5%,$23,$15,,"$870,207",1.5%,$24,$16,,"$898,752",1.5%,$25,$16,,"$923,203",1.5%,$25,$17,,"$950,899",1.5%,$26,$17,,"$979,426",1.5%,$27,$18
